loan_id,app_id,issue_date,close_date,riskclass,ficoscore,contractperiod,paidamount,initialamount
1,215137,1/1/2021,1/31/2021,Ստանդարտ,540,33,105479.6,100000
2,291906,2/21/2021,1/5/2022,Ստանդարտ,588,12,314603.16,250000
3,457632,6/17/2021,8/21/2021,Ստանդարտ,557,3,126270.72,120000
4,518394,7/17/2021,9/16/2021,Ստանդարտ,557,35,85433.6,80000
5,215321,1/1/2021,4/7/2021,Ստանդարտ,586,33,249527,210000
6,457650,6/17/2021,8/17/2021,Ստանդարտ,529,2,52990.6,50000
7,430320,6/5/2021,6/10/2021,Ստանդարտ,564,4,50280.9,50000
8,457663,6/17/2021,6/20/2021,Ստանդարտ,576,9,300706.8,300000
9,575048,8/11/2021,8/13/2021,Ստանդարտ,590,30,100139.72,100000
10,215496,1/1/2021,1/31/2021,Ստանդարտ,595,35,211287.7,200000
11,467192,6/22/2021,8/2/2021,Ստանդարտ,571,2,103921.82,100000
12,605501,8/25/2021,3/25/2022,Ստանդարտ,537,7,97011.79,80000
13,623576,9/2/2021,6/16/2022,Ստանդարտ,645,34,400795.95,300000
14,215595,1/1/2021,1/31/2021,Ստանդարտ,600,12,103068.6,100000
15,215602,1/1/2021,1/31/2021,Ստանդարտ,521,33,104789.4,100000
16,457660,6/17/2021,11/11/2021,Ստանդարտ,600,20,176331.23,150000
17,539211,7/28/2021,9/15/2021,Ստանդարտ,620,2,106607.79,100000
18,430496,6/5/2021,8/23/2021,Ստանդարտ,510,31,111389.7,100000
19,448559,6/13/2021,7/6/2021,Ստանդարտ,534,29,103024.9,100000
20,539241,7/28/2021,9/6/2021,Ստանդարտ,579,35,203417.15,200000
21,467209,6/22/2021,7/6/2021,Ստանդարտ,617,35,152128.8,150000
22,553169,8/2/2021,3/18/2022,Հսկվող,553,34,313373.8,250000
23,560287,8/4/2021,9/24/2021,Ստանդարտ,613,32,209777.62,200000
24,215854,1/1/2021,1/31/2021,Ստանդարտ,585,35,124295.8,120000
25,508071,7/13/2021,5/29/2023,Ստանդարտ,568,26,75855.55,50000
26,430515,6/5/2021,11/4/2021,Ստանդարտ,527,35,364473.71,300000
27,448570,6/13/2021,4/29/2023,Անհուսալի,551,35,312500,200000
28,787635,11/1/2021,11/22/2021,Ստանդարտ,608,34,258198.66,250000
29,787639,11/1/2021,11/1/2021,Ստանդարտ,570,35,300000,300000
30,792996,11/3/2021,2/1/2022,Ստանդարտ,517,29,111254.46,100000
31,801861,11/6/2021,12/6/2021,Ստանդարտ,575,25,155610.94,150000
32,808534,11/9/2021,2/21/2022,Ստանդարտ,524,35,225472.01,200000
33,881066,12/3/2021,12/13/2021,Ստանդարտ,621,33,232514.24,230000
