row_id,app_id,reg_num,released,vehicle_type,model_name,recording_date,fuel_type
1,228898,712080282,1984,ԲԵՌՆԱՏԱՐ,MULTICAR,12/14/2013 0:00,petrol
2,242072,26410307085,1985,ՀԱՏՈՒԿ,MAZ,6/9/2014 0:00,diesel
3,246781,105850003,1985,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,1/24/2020 0:00,petrol
4,246945,26412995774,1986,ԲԵՌՆԱՏԱՐ,ZIL,9/2/2020 0:00,petrol
5,248677,512110301,1999,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MITSUBISHI,11/24/2020 0:00,petrol
6,252314,309990217,1991,ԲԵՌՆԱՏԱՐ,ERAZ,1/25/2016 0:00,petrol
7,257191,103010069,1983,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,GAZ,2/12/2020 0:00,petrol
8,259185,703070037,1989,ԲԵՌՆԱՏԱՐ,GAZ,4/16/2019 0:00,petrol
9,264745,1610642806,1986,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MOSKVICH,12/3/2015 0:00,petrol
10,267875,610342532,2004,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,NISSAN,5/10/2017 0:00,petrol
11,272737,26410892503,2006,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,NISSAN,2/13/2020 0:00,petrol
12,314455,310980187,1983,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,GAZ,8/2/2012 0:00,petrol
13,315542,410564106,2005,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,NISSAN,3/5/2021 0:00,petrol
14,318197,910423211,1990,ԲԵՌՆԱՏԱՐ,IZH,9/14/2005 0:00,petrol
15,330515,506010040,1983,ԲԵՌՆԱՏԱՐ,ZIL,8/20/2020 0:00,petrol
16,333127,411621328,2006,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,NISSAN,4/6/2018 0:00,petrol
17,348781,411509075,2004,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,NISSAN,1/11/2020 0:00,petrol
18,361315,707080192,1995,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,GAZ,6/6/2017 0:00,petrol
19,395759,501070015,1978,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,10/25/2014 0:00,petrol
20,410409,712080282,1984,ԲԵՌՆԱՏԱՐ,MULTICAR,12/14/2013 0:00,petrol
21,421686,26413003624,2020,ԿՑՈՐԴ,HOME-MADE,9/10/2020 0:00,none
22,428400,105110252,1998,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,MITSUBISHI,1/10/2014 0:00,petrol
23,450288,108970097,1986,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,GAZ,12/30/2020 0:00,petrol
24,466335,26410308561,2005,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,NISSAN,6/25/2014 0:00,petrol
25,583028,610342532,2004,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,NISSAN,5/10/2017 0:00,petrol
26,588703,109020144,1975,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,8/16/2021 0:00,petrol
27,602374,712080282,1984,ԲԵՌՆԱՏԱՐ,MULTICAR,12/14/2013 0:00,petrol
28,605590,26410308561,2005,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,NISSAN,6/25/2014 0:00,petrol
29,628989,26413022118,1981,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,10/14/2020 0:00,petrol
30,633400,907100375,1985,ՄԱՍՆԱԳԻՏԱՑՎԱԾ,KAMAZ,4/4/2019 0:00,diesel
31,651483,1206050034,1987,ԲԵՌՆԱՏԱՐ,ZIL,8/17/2020 0:00,petrol
32,653149,510386462,2005,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,NISSAN,9/17/2020 0:00,petrol
33,656192,411621328,2006,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,NISSAN,4/6/2018 0:00,petrol
34,674132,110110192,1996,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,FIAT,4/22/2021 0:00,petrol
35,676911,611730001,1974,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,10/25/2018 0:00,petrol
36,679924,26410892503,2006,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,NISSAN,2/13/2020 0:00,petrol
37,705963,109830017,1986,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,9/15/1983 0:00,petrol
38,713401,610389066,2003,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,NISSAN,11/16/2016 0:00,petrol
39,748690,510386462,2005,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,NISSAN,9/17/2020 0:00,petrol
40,769711,905950006,1983,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,5/25/2021 0:00,petrol
41,778036,510386462,2005,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,NISSAN,9/17/2020 0:00,petrol
42,778089,26411638008,2008,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,HONDA,10/8/2018 0:00,petrol
43,791313,106880003,1976,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,9/30/2020 0:00,petrol
44,791313,208110345,1974,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,7/10/2018 0:00,petrol
45,795440,810973688,2010,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,HONDA,7/24/2017 0:00,petrol
46,798641,510386462,2005,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,NISSAN,9/17/2020 0:00,petrol
47,804646,1010015549,2004,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,NISSAN,2/14/2014 0:00,petrol
48,807419,910494120,2003,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,CHEVROLET,11/26/2019 0:00,petrol
49,842239,411621328,2006,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,NISSAN,4/6/2018 0:00,petrol
50,857269,710050066,1970,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,12/16/2019 0:00,petrol
